,datadate,tic,prccd,prcod,prchd,prcld,cshtrd,
6315,20200722,EURCHF,1.075545,1.07562,1.079495,1.07424,301899,
6316,20200723,EURCHF,1.07316,1.075545,1.07663,1.07153,233893,
6317,20200724,EURCHF,1.07296,1.07316,1.074925,1.071235,266528,
6319,20200727,EURCHF,1.08104,1.07302,1.08383,1.072515,285532,
6320,20200728,EURCHF,1.075435,1.08104,1.082765,1.07434,278084,
6321,20200729,EURCHF,1.07609,1.075435,1.078265,1.07492,250982,
6322,20200730,EURCHF,1.07686,1.07609,1.07742,1.07341,292882,
6323,20200731,EURCHF,1.07588,1.07686,1.079775,1.07463,367588,
6325,20200803,EURCHF,1.079465,1.07653,1.08387,1.07497,282672,
6326,20200804,EURCHF,1.07789,1.079465,1.0811,1.07393,274465,
6327,20200805,EURCHF,1.07773,1.07789,1.07934,1.076195,279165,
6328,20200806,EURCHF,1.0805,1.07773,1.0822,1.075235,333650,
6329,20200807,EURCHF,1.075425,1.0805,1.081365,1.075325,306645,
6331,20200810,EURCHF,1.074765,1.07641,1.079275,1.0746,207091,
6332,20200811,EURCHF,1.07631,1.074765,1.0792,1.07354,300052,
6333,20200812,EURCHF,1.07481,1.07631,1.07874,1.073835,299355,
6334,20200813,EURCHF,1.074705,1.07481,1.079105,1.0742,240588,
6335,20200814,EURCHF,1.076595,1.074705,1.077275,1.074125,196045,
6337,20200817,EURCHF,1.07618,1.07645,1.07849,1.07456,166062,
6338,20200818,EURCHF,1.078275,1.07618,1.07902,1.075045,222222,
6339,20200819,EURCHF,1.083615,1.078275,1.084935,1.077105,279751,
6340,20200820,EURCHF,1.07652,1.083615,1.084445,1.07621,274907,
6341,20200821,EURCHF,1.0753,1.07652,1.07782,1.073655,213403,
6342,20200824,EURCHF,1.074885,1.0753,1.07753,1.07443,182179,
6343,20200825,EURCHF,1.074255,1.074885,1.0768,1.073195,205322,
6344,20200826,EURCHF,1.07453,1.074255,1.075935,1.073165,194401,
6345,20200827,EURCHF,1.07469,1.07453,1.076075,1.07219,325715,
6346,20200828,EURCHF,1.07636,1.07469,1.07683,1.07388,265407,
6348,20200831,EURCHF,1.078725,1.07633,1.078985,1.07468,225809,
6349,20200901,EURCHF,1.083185,1.078725,1.08777,1.077885,276100,
6350,20200902,EURCHF,1.07959,1.083185,1.085165,1.077475,245964,
6351,20200903,EURCHF,1.0778,1.07959,1.08031,1.075915,220819,
6352,20200904,EURCHF,1.081375,1.0778,1.08258,1.07676,195282,
6354,20200907,EURCHF,1.082375,1.081805,1.08355,1.07994,122446,
6355,20200908,EURCHF,1.08086,1.082375,1.084695,1.079765,238509,
6356,20200909,EURCHF,1.076915,1.08086,1.08177,1.0768,284856,
6357,20200910,EURCHF,1.075945,1.076915,1.078805,1.07502,261611,
6358,20200911,EURCHF,1.07666,1.075945,1.078845,1.07539,197958,
6360,20200914,EURCHF,1.077755,1.07678,1.077855,1.07565,157356,
6361,20200915,EURCHF,1.07583,1.077755,1.07863,1.07529,173398,
6362,20200916,EURCHF,1.074595,1.07583,1.077075,1.07384,211439,
6363,20200917,EURCHF,1.076195,1.074595,1.07643,1.072735,239001,
6364,20200918,EURCHF,1.0791,1.076195,1.079475,1.075175,182668,
6365,20200921,EURCHF,1.076525,1.0791,1.080005,1.074015,234121,
6366,20200922,EURCHF,1.076865,1.076525,1.07749,1.074605,227986,
6367,20200923,EURCHF,1.077455,1.076865,1.078485,1.075155,265278,
6368,20200924,EURCHF,1.081505,1.077455,1.08192,1.07555,221225,
6369,20200925,EURCHF,1.08039,1.081505,1.082125,1.079105,229935,
6371,20200928,EURCHF,1.07885,1.08023,1.08304,1.077385,188277,
6372,20200929,EURCHF,1.08,1.07885,1.08178,1.077825,226310,
6373,20200930,EURCHF,1.079395,1.08,1.081705,1.07627,255317,
6374,20201001,EURCHF,1.079155,1.079395,1.080575,1.07663,291279,
6375,20201002,EURCHF,1.07862,1.079155,1.079845,1.076845,272888,
6377,20201005,EURCHF,1.078465,1.07738,1.079295,1.073505,148717,
6378,20201006,EURCHF,1.07724,1.078465,1.079005,1.076595,170342,
6379,20201007,EURCHF,1.078985,1.07724,1.079715,1.076685,161155,
6380,20201008,EURCHF,1.078305,1.078985,1.08009,1.07792,127455,
6381,20201009,EURCHF,1.07614,1.078305,1.079025,1.07543,138515,
6382,20201011,EURCHF,1.076205,1.07614,1.076695,1.07543,425,
6383,20201012,EURCHF,1.07392,1.076205,1.07743,1.07337,119066,
6384,20201013,EURCHF,1.074485,1.07392,1.074875,1.07258,139021,
6385,20201014,EURCHF,1.07315,1.074485,1.075235,1.072505,123795,
6386,20201015,EURCHF,1.070625,1.07315,1.07341,1.068855,135821,
6387,20201016,EURCHF,1.072025,1.070625,1.07303,1.069995,161288,
6388,20201019,EURCHF,1.07102,1.072025,1.073215,1.0707,113021,
6389,20201020,EURCHF,1.07233,1.07102,1.073415,1.070385,135480,
6390,20201021,EURCHF,1.073825,1.07233,1.07418,1.07106,144510,
6391,20201022,EURCHF,1.07198,1.073825,1.074895,1.071735,146962,
6392,20201023,EURCHF,1.07239,1.07198,1.073185,1.070205,144240,
6394,20201026,EURCHF,1.072125,1.073505,1.073645,1.07076,146577,
6395,20201027,EURCHF,1.071785,1.072125,1.074805,1.07157,145179,
6396,20201028,EURCHF,1.069475,1.071785,1.0721,1.06765,179470,
6397,20201029,EURCHF,1.068275,1.069475,1.070315,1.067535,184973,
6398,20201030,EURCHF,1.0679,1.068275,1.07019,1.0671,187569,
6400,20201102,EURCHF,1.06986,1.067985,1.07056,1.06694,143044,
6401,20201103,EURCHF,1.069135,1.06986,1.07191,1.067795,138070,
6402,20201104,EURCHF,1.0691,1.069135,1.07156,1.066045,359746,
6403,20201105,EURCHF,1.070055,1.0691,1.07273,1.067565,223146,
6404,20201106,EURCHF,1.06896,1.070055,1.07071,1.0676,209412,
6405,20201108,EURCHF,1.069405,1.06896,1.06983,1.068275,84,
6406,20201109,EURCHF,1.078735,1.069405,1.080805,1.06765,289749,
6407,20201110,EURCHF,1.08115,1.078735,1.08225,1.077805,211879,
6408,20201111,EURCHF,1.08011,1.08115,1.08247,1.07823,167411,
6409,20201112,EURCHF,1.079985,1.08011,1.081025,1.07816,139544,
6410,20201113,EURCHF,1.080005,1.079985,1.08213,1.07821,135934,
6412,20201116,EURCHF,1.08159,1.080915,1.08277,1.07885,165853,
6413,20201117,EURCHF,1.080955,1.08159,1.08222,1.080295,130414,
6414,20201118,EURCHF,1.080325,1.080955,1.082485,1.078995,129048,
6415,20201119,EURCHF,1.08148,1.080325,1.08196,1.07902,147830,
6416,20201120,EURCHF,1.08021,1.08148,1.082345,1.079485,133285,
6417,20201122,EURCHF,1.08057,1.08021,1.081015,1.080135,89,
6418,20201123,EURCHF,1.080655,1.08057,1.08181,1.07946,150208,
6419,20201124,EURCHF,1.0837,1.080655,1.085005,1.080005,152278,
6420,20201125,EURCHF,1.082445,1.0837,1.08716,1.08187,179735,
6421,20201126,EURCHF,1.079995,1.082445,1.08335,1.079175,117009,
6422,20201127,EURCHF,1.082125,1.079995,1.082855,1.07934,148318,
6423,20201129,EURCHF,1.08199,1.082125,1.082035,1.08163,88,
6424,20201130,EURCHF,1.083715,1.08199,1.085935,1.080345,163525,
6425,20201201,EURCHF,1.0859,1.083715,1.086715,1.082585,166907,
6426,20201202,EURCHF,1.08403,1.0859,1.087195,1.081315,169167,
6427,20201203,EURCHF,1.082515,1.08403,1.08425,1.0817,153077,
6428,20201204,EURCHF,1.08097,1.082515,1.084895,1.079795,168697,
6429,20201206,EURCHF,1.08098,1.08097,1.08105,1.080605,42,
6430,20201207,EURCHF,1.07864,1.08098,1.08192,1.078115,173652,
6431,20201208,EURCHF,1.076265,1.07864,1.079945,1.07588,143509,
6432,20201209,EURCHF,1.0747,1.076265,1.07844,1.0742,144403,
6433,20201210,EURCHF,1.07578,1.0747,1.076975,1.073725,167118,
6434,20201211,EURCHF,1.077975,1.07578,1.078945,1.07493,153933,
6436,20201214,EURCHF,1.07693,1.078865,1.079245,1.07632,152364,
6437,20201215,EURCHF,1.0763,1.07693,1.07858,1.075895,174812,
6438,20201216,EURCHF,1.079695,1.0763,1.080715,1.076035,158151,
6439,20201217,EURCHF,1.085055,1.079695,1.08586,1.078545,152139,
6440,20201218,EURCHF,1.08237,1.085055,1.0862,1.081715,153089,
6441,20201220,EURCHF,1.0823,1.08237,1.08286,1.08147,171,
6442,20201221,EURCHF,1.08446,1.0823,1.08499,1.079835,216820,
6443,20201222,EURCHF,1.08212,1.08446,1.08502,1.0814,150086,
6444,20201223,EURCHF,1.08301,1.08212,1.085885,1.08111,166275,
6445,20201224,EURCHF,1.08568,1.08301,1.086485,1.081975,85681,
6446,20201228,EURCHF,1.08594,1.08568,1.08924,1.08444,131316,
6447,20201229,EURCHF,1.083485,1.08594,1.087625,1.082255,146719,
6448,20201230,EURCHF,1.084085,1.083485,1.08633,1.08251,171755,
6449,20201231,EURCHF,1.08187,1.084085,1.084875,1.079805,116213,
6450,20210103,EURCHF,1.08135,1.08187,1.081855,1.08117,30,
6451,20210104,EURCHF,1.07965,1.08135,1.083195,1.078895,224492,
6452,20210105,EURCHF,1.079875,1.07965,1.08197,1.07882,181029,
6453,20210106,EURCHF,1.082665,1.079875,1.083825,1.07932,238222,
6454,20210107,EURCHF,1.085785,1.082665,1.0868,1.082255,195534,
6455,20210108,EURCHF,1.08215,1.085785,1.086585,1.08141,186451,
6457,20210111,EURCHF,1.081825,1.08266,1.08409,1.08136,177738,
6458,20210112,EURCHF,1.082015,1.081825,1.083165,1.080615,151198,
6459,20210113,EURCHF,1.079165,1.082015,1.082615,1.078425,156652,
6460,20210114,EURCHF,1.079585,1.079165,1.08148,1.07756,191599,
6461,20210115,EURCHF,1.07628,1.079585,1.07987,1.075075,159368,
6462,20210117,EURCHF,1.07634,1.07628,1.076475,1.0758,51,
6463,20210118,EURCHF,1.07616,1.07634,1.07724,1.073915,148816,
6464,20210119,EURCHF,1.077795,1.07616,1.078135,1.07532,136842,
6465,20210120,EURCHF,1.07698,1.077795,1.079255,1.076345,142446,
6466,20210121,EURCHF,1.076975,1.07698,1.07866,1.07565,153360,
6467,20210122,EURCHF,1.07731,1.076975,1.078465,1.07622,165258,
6469,20210125,EURCHF,1.07835,1.07785,1.078865,1.076755,149964,
6470,20210126,EURCHF,1.07835,1.07835,1.080035,1.07704,176033,
6471,20210127,EURCHF,1.07624,1.07835,1.07888,1.07501,202433,
6472,20210128,EURCHF,1.077075,1.07624,1.07895,1.07524,200524,
6473,20210129,EURCHF,1.08118,1.077075,1.081355,1.076055,207244,
6475,20210201,EURCHF,1.08185,1.079955,1.08273,1.079335,195603,
6476,20210202,EURCHF,1.080785,1.08185,1.08332,1.079915,164866,
6477,20210203,EURCHF,1.08217,1.080785,1.08224,1.079595,162686,
6478,20210204,EURCHF,1.08187,1.08217,1.08265,1.081055,145998,
6479,20210205,EURCHF,1.083155,1.08187,1.08354,1.080755,141491,
6480,20210207,EURCHF,1.08285,1.083155,1.083015,1.082435,14,
6481,20210208,EURCHF,1.08305,1.08285,1.084655,1.08209,155186,
6482,20210209,EURCHF,1.08126,1.08305,1.083645,1.08047,166232,
6483,20210210,EURCHF,1.07894,1.08126,1.081945,1.078635,151654,
6484,20210211,EURCHF,1.07964,1.07894,1.080775,1.078525,117703,
6485,20210212,EURCHF,1.08096,1.07964,1.08114,1.078735,107910,
6487,20210215,EURCHF,1.08009,1.080955,1.08217,1.07932,81400,
6488,20210216,EURCHF,1.08024,1.08009,1.08087,1.078765,135508,
6489,20210217,EURCHF,1.08175,1.08024,1.08249,1.07925,139322,
6490,20210218,EURCHF,1.08313,1.08175,1.083655,1.081495,102681,
6491,20210219,EURCHF,1.08641,1.08313,1.087085,1.082875,102866,
6492,20210221,EURCHF,1.086525,1.08641,1.086875,1.085765,147,
6493,20210222,EURCHF,1.08925,1.086525,1.091605,1.0858,132047,
6494,20210223,EURCHF,1.099725,1.08925,1.099985,1.08899,134501,
6495,20210224,EURCHF,1.102735,1.099725,1.105675,1.098205,217293,
6496,20210225,EURCHF,1.101815,1.102735,1.109795,1.10134,252178,
6497,20210226,EURCHF,1.096925,1.101815,1.10265,1.095645,298384,
6499,20210301,EURCHF,1.1026,1.0972,1.103155,1.09588,244135,
6500,20210302,EURCHF,1.1056,1.1026,1.105815,1.10037,232700,
6501,20210303,EURCHF,1.109765,1.1056,1.110005,1.105075,199412,
6502,20210304,EURCHF,1.111875,1.109765,1.1152,1.107585,227543,
6503,20210305,EURCHF,1.108895,1.111875,1.11282,1.10546,254528,
6505,20210308,EURCHF,1.1091,1.10765,1.110315,1.1071,208692,
6506,20210309,EURCHF,1.10414,1.1091,1.111905,1.103365,228588,
6507,20210310,EURCHF,1.10903,1.10414,1.109295,1.103005,216822,
6508,20210311,EURCHF,1.107295,1.10903,1.110185,1.105255,185577,
6509,20210312,EURCHF,1.11092,1.107295,1.111645,1.106965,160436,
6510,20210315,EURCHF,1.106985,1.11092,1.11124,1.106075,179007,
6511,20210316,EURCHF,1.10049,1.106985,1.10783,1.100395,164281,
6512,20210317,EURCHF,1.10513,1.10049,1.10616,1.100305,166763,
6513,20210318,EURCHF,1.105385,1.10513,1.10846,1.103,194790,
6514,20210319,EURCHF,1.10621,1.105385,1.107895,1.10403,161234,
6516,20210322,EURCHF,1.101755,1.10507,1.10644,1.100815,149799,
6517,20210323,EURCHF,1.10688,1.101755,1.108015,1.101135,153595,
6518,20210324,EURCHF,1.105255,1.10688,1.107685,1.10496,140986,
6519,20210325,EURCHF,1.10572,1.105255,1.10744,1.104275,142416,
6520,20210326,EURCHF,1.10752,1.10572,1.109495,1.105455,138309,
6522,20210329,EURCHF,1.10507,1.107305,1.108015,1.10373,138771,
6523,20210330,EURCHF,1.1044,1.10507,1.1069,1.103475,152381,
6524,20210331,EURCHF,1.107255,1.1044,1.109135,1.103355,174596,
6525,20210401,EURCHF,1.10903,1.107255,1.111845,1.10615,167117,
6526,20210402,EURCHF,1.10828,1.10903,1.11005,1.10725,60431,
6528,20210405,EURCHF,1.106475,1.109,1.10967,1.105005,85731,
6529,20210406,EURCHF,1.10548,1.106475,1.108795,1.10444,119748,
6530,20210407,EURCHF,1.103225,1.10548,1.1068,1.102305,158752,
6531,20210408,EURCHF,1.101655,1.103225,1.104685,1.10057,129597,
6532,20210409,EURCHF,1.10018,1.101655,1.10241,1.09929,140939,
6533,20210412,EURCHF,1.098965,1.10018,1.102,1.09753,100139,
6534,20210413,EURCHF,1.1003,1.098965,1.10135,1.098125,126679,
6535,20210414,EURCHF,1.1052,1.1003,1.10655,1.09953,136593,
6536,20210415,EURCHF,1.10381,1.1052,1.106375,1.102915,143324,
6537,20210416,EURCHF,1.10225,1.10381,1.104685,1.100155,131916,
6538,20210418,EURCHF,1.1015,1.10225,1.10189,1.101465,5,
6539,20210419,EURCHF,1.101255,1.1015,1.103035,1.0993,123024,
6540,20210420,EURCHF,1.1022,1.101255,1.104795,1.10036,105829,
6541,20210421,EURCHF,1.10375,1.1022,1.104345,1.10088,102157,
6542,20210422,EURCHF,1.102535,1.10375,1.104775,1.101415,119378,
6543,20210423,EURCHF,1.10523,1.102535,1.10542,1.101585,134000,
6544,20210425,EURCHF,1.10491,1.10523,1.105155,1.104355,24,
6545,20210426,EURCHF,1.10445,1.10491,1.10713,1.103845,128009,
6546,20210427,EURCHF,1.1044,1.10445,1.106305,1.102405,113085,
6547,20210428,EURCHF,1.10357,1.1044,1.107555,1.102105,157073,
6548,20210429,EURCHF,1.101895,1.10357,1.10445,1.10123,136843,
6549,20210430,EURCHF,1.097605,1.101895,1.10239,1.0974,145035,
6550,20210502,EURCHF,1.09778,1.097605,1.098265,1.097375,34,
6551,20210503,EURCHF,1.09904,1.09778,1.1018,1.0967,111411,
6552,20210504,EURCHF,1.097705,1.09904,1.101105,1.096725,177244,
6553,20210505,EURCHF,1.096,1.097705,1.09897,1.095285,137044,
6554,20210506,EURCHF,1.094835,1.096,1.09726,1.094115,145124,
6555,20210507,EURCHF,1.09553,1.094835,1.097675,1.093555,185417,
6557,20210510,EURCHF,1.092975,1.09585,1.096635,1.09287,170062,
6558,20210511,EURCHF,1.097725,1.092975,1.09887,1.092695,185221,
6559,20210512,EURCHF,1.097375,1.097725,1.09848,1.0956,201103,
6560,20210513,EURCHF,1.094815,1.097375,1.098605,1.093735,244389,
6561,20210514,EURCHF,1.09463,1.094815,1.09619,1.0932,140883,
6563,20210517,EURCHF,1.09788,1.095115,1.09845,1.094065,123166,
6564,20210518,EURCHF,1.097335,1.09788,1.09843,1.09519,138240,
6565,20210519,EURCHF,1.10064,1.097335,1.10285,1.096415,172114,
6566,20210520,EURCHF,1.09711,1.10064,1.10209,1.09706,126901,
6567,20210521,EURCHF,1.09368,1.09711,1.098135,1.09329,149594,
6569,20210524,EURCHF,1.095815,1.094965,1.09717,1.09318,134266,
6570,20210525,EURCHF,1.09681,1.095815,1.098535,1.094865,155929,
6571,20210526,EURCHF,1.094965,1.09681,1.09782,1.093935,139464,
6572,20210527,EURCHF,1.093695,1.094965,1.097755,1.09353,149895,
6573,20210528,EURCHF,1.09718,1.093695,1.09786,1.09322,149439,
6575,20210531,EURCHF,1.09933,1.097335,1.10004,1.095975,89096,
6576,20210601,EURCHF,1.095745,1.09933,1.10026,1.095445,112880,
6577,20210602,EURCHF,1.096295,1.095745,1.098265,1.095145,103706,
6578,20210603,EURCHF,1.09548,1.096295,1.097925,1.09534,108959,
6579,20210604,EURCHF,1.09394,1.09548,1.09664,1.093415,114856,
6581,20210607,EURCHF,1.094345,1.094345,1.094925,1.092985,78604,
6582,20210608,EURCHF,1.09181,1.094345,1.09477,1.091015,103651,
6583,20210609,EURCHF,1.09102,1.09181,1.09274,1.09039,81800,
6584,20210610,EURCHF,1.08916,1.09102,1.09275,1.08895,116290,
6585,20210611,EURCHF,1.087215,1.08916,1.09021,1.087155,87566,
6587,20210614,EURCHF,1.09029,1.087905,1.090935,1.08711,74081,
6588,20210615,EURCHF,1.088965,1.09029,1.09112,1.088615,77842,
6589,20210616,EURCHF,1.089805,1.088965,1.09127,1.088265,135182,
6590,20210617,EURCHF,1.093,1.089805,1.09322,1.08902,136621,
6591,20210618,EURCHF,1.094875,1.093,1.095515,1.091565,120650,
6593,20210621,EURCHF,1.093865,1.094255,1.09642,1.093285,122980,
6594,20210622,EURCHF,1.095845,1.093865,1.09678,1.093535,98735,
6595,20210623,EURCHF,1.09539,1.095845,1.09696,1.09474,105213,
6596,20210624,EURCHF,1.09529,1.09539,1.09766,1.094965,143290,
6597,20210625,EURCHF,1.094455,1.09529,1.096415,1.09417,83021,
6598,20210628,EURCHF,1.096675,1.094455,1.097205,1.094285,96645,
6599,20210629,EURCHF,1.095895,1.096675,1.09735,1.095215,102817,
6600,20210630,EURCHF,1.09686,1.095895,1.098185,1.095455,112335,
6601,20210701,EURCHF,1.09715,1.09686,1.09869,1.09609,130737,
6602,20210702,EURCHF,1.092525,1.09715,1.097515,1.092145,126419,
6604,20210705,EURCHF,1.093955,1.0933,1.094745,1.092445,101637,
6605,20210706,EURCHF,1.092705,1.093955,1.095025,1.0921,123312,
6606,20210707,EURCHF,1.09133,1.092705,1.09379,1.091055,136825,
6607,20210708,EURCHF,1.08384,1.09133,1.09265,1.08247,141119,
6608,20210709,EURCHF,1.085475,1.08384,1.086825,1.083095,95458,
6610,20210712,EURCHF,1.08526,1.086275,1.0867,1.0845,89821,
6611,20210713,EURCHF,1.081645,1.08526,1.08629,1.08158,105517,
6612,20210714,EURCHF,1.083075,1.081645,1.08516,1.08154,102466,
6613,20210715,EURCHF,1.084405,1.083075,1.08488,1.08045,102518,
6614,20210716,EURCHF,1.085565,1.084405,1.08649,1.08337,84438,
6616,20210719,EURCHF,1.0833,1.08575,1.086875,1.082545,112317,
6617,20210720,EURCHF,1.085335,1.0833,1.085815,1.082025,113673,
6618,20210721,EURCHF,1.082425,1.085335,1.08588,1.08208,83776,
6619,20210722,EURCHF,1.08177,1.082425,1.084105,1.081285,113090,
6620,20210723,EURCHF,1.08253,1.08177,1.08411,1.08128,82340,
6622,20210726,EURCHF,1.08109,1.083565,1.083815,1.080645,83472,
6623,20210727,EURCHF,1.080475,1.08109,1.082185,1.079755,97666,
6624,20210728,EURCHF,1.07801,1.080475,1.08167,1.07772,112188,
6625,20210729,EURCHF,1.077185,1.07801,1.079425,1.076495,79554,
6626,20210730,EURCHF,1.07453,1.077185,1.07808,1.07421,97885,
6628,20210802,EURCHF,1.074505,1.075175,1.0767,1.07397,77545,
6629,20210803,EURCHF,1.072445,1.074505,1.075615,1.072145,79058,
6630,20210804,EURCHF,1.073085,1.072445,1.074105,1.07184,78926,
6631,20210805,EURCHF,1.073,1.073085,1.074125,1.07207,68157,
6632,20210806,EURCHF,1.07622,1.073,1.07651,1.071945,89359,
6634,20210809,EURCHF,1.079825,1.075405,1.08056,1.07512,75486,
6635,20210810,EURCHF,1.081535,1.079825,1.081875,1.079015,63976,
6636,20210811,EURCHF,1.082435,1.081535,1.082655,1.080725,70769,
6637,20210812,EURCHF,1.083335,1.082435,1.08399,1.08145,46861,
6638,20210813,EURCHF,1.079685,1.083335,1.08406,1.079555,48436,
6639,20210816,EURCHF,1.07468,1.079685,1.08131,1.07361,51926,
6640,20210817,EURCHF,1.070995,1.07468,1.07525,1.06994,74228,
6641,20210818,EURCHF,1.073865,1.070995,1.07577,1.070015,67100,
6642,20210819,EURCHF,1.07309,1.073865,1.07491,1.06962,86405,
6643,20210820,EURCHF,1.072875,1.07309,1.073825,1.070015,51965,
6645,20210823,EURCHF,1.07174,1.073095,1.07572,1.07153,59381,
6646,20210824,EURCHF,1.072875,1.07174,1.0737,1.070035,49763,
6647,20210825,EURCHF,1.075175,1.072875,1.07582,1.07223,54678,
6648,20210826,EURCHF,1.0785,1.075175,1.08057,1.074575,66859,
6649,20210827,EURCHF,1.07465,1.0785,1.079915,1.074175,84778,
6651,20210830,EURCHF,1.08143,1.075595,1.082595,1.07454,46432,
6652,20210831,EURCHF,1.08076,1.08143,1.083215,1.07824,79584,
6653,20210901,EURCHF,1.083825,1.08076,1.08506,1.08055,65771,
6654,20210902,EURCHF,1.085175,1.083825,1.086445,1.08314,56385,
6655,20210903,EURCHF,1.085635,1.085175,1.08729,1.08471,81697,
6657,20210906,EURCHF,1.08673,1.085245,1.088005,1.08495,55741,
6658,20210907,EURCHF,1.088155,1.08673,1.089035,1.084525,73073,
6659,20210908,EURCHF,1.089075,1.088155,1.09015,1.08648,76569,
6660,20210909,EURCHF,1.08438,1.089075,1.089915,1.08354,85967,
6661,20210910,EURCHF,1.084345,1.08438,1.08624,1.083435,74535,
6663,20210913,EURCHF,1.08875,1.0855,1.08966,1.083815,90612,
6664,20210914,EURCHF,1.08665,1.08875,1.09045,1.085465,85136,
6665,20210915,EURCHF,1.086325,1.08665,1.08725,1.083995,77514,
6666,20210916,EURCHF,1.090995,1.086325,1.0919,1.085565,101403,
6667,20210917,EURCHF,1.09319,1.090995,1.0938,1.09053,96691,
6668,20210919,EURCHF,1.09342,1.09319,1.09373,1.09328,5,
6669,20210920,EURCHF,1.088375,1.09342,1.09377,1.08744,76240,
6670,20210921,EURCHF,1.082375,1.088375,1.088995,1.081575,91619,
6671,20210922,EURCHF,1.082325,1.082375,1.0848,1.081125,118523,
6672,20210923,EURCHF,1.08526,1.082325,1.08607,1.081505,103645,
6673,20210924,EURCHF,1.08341,1.08526,1.086495,1.082105,84464,
6674,20210926,EURCHF,1.0832,1.08341,1.0832,1.0832,1,
6675,20210927,EURCHF,1.082575,1.0832,1.086475,1.082175,102920,
6676,20210928,EURCHF,1.08519,1.082575,1.086005,1.08209,115274,
6677,20210929,EURCHF,1.08405,1.08519,1.086415,1.08213,124479,
6678,20210930,EURCHF,1.07907,1.08405,1.085015,1.078395,133098,
6679,20211001,EURCHF,1.078805,1.07907,1.08085,1.077215,125157,
6681,20211004,EURCHF,1.074825,1.07822,1.080225,1.07331,99408,
6682,20211005,EURCHF,1.076175,1.074825,1.07722,1.073805,85692,
6683,20211006,EURCHF,1.0718,1.076175,1.077425,1.07078,111809,
6684,20211007,EURCHF,1.07272,1.0718,1.07364,1.070225,85936,
6685,20211008,EURCHF,1.073195,1.07272,1.07523,1.071705,102145,
6687,20211011,EURCHF,1.07183,1.07342,1.0747,1.070965,80321,
6688,20211012,EURCHF,1.0733,1.07183,1.074275,1.070875,80760,
6689,20211013,EURCHF,1.071395,1.0733,1.07408,1.07091,94713,
6690,20211014,EURCHF,1.070575,1.071395,1.071925,1.06805,77887,
6691,20211015,EURCHF,1.0708,1.070575,1.074,1.069895,83756,
6693,20211018,EURCHF,1.07181,1.072195,1.0736,1.070405,91688,
6694,20211019,EURCHF,1.07381,1.07181,1.074065,1.070825,88204,
6695,20211020,EURCHF,1.071325,1.07381,1.07655,1.07055,90756,
6696,20211021,EURCHF,1.06804,1.071325,1.07251,1.067045,86700,
6697,20211022,EURCHF,1.06678,1.06804,1.068515,1.065875,90721,
6698,20211025,EURCHF,1.06761,1.06678,1.06923,1.065815,87783,
6699,20211026,EURCHF,1.066675,1.06761,1.070345,1.06602,78689,
6700,20211027,EURCHF,1.064685,1.066675,1.06808,1.06366,106277,
6701,20211028,EURCHF,1.06596,1.064685,1.067115,1.06363,147547,
6702,20211029,EURCHF,1.058255,1.06596,1.065765,1.056985,128198,
6703,20211101,EURCHF,1.05576,1.058255,1.06043,1.05476,92315,
6704,20211102,EURCHF,1.05899,1.05576,1.06044,1.05458,89339,
6705,20211103,EURCHF,1.058395,1.05899,1.05967,1.055235,106401,
6706,20211104,EURCHF,1.05396,1.058395,1.059405,1.053315,120468,
6707,20211105,EURCHF,1.05515,1.05396,1.05768,1.05307,103074,
6709,20211108,EURCHF,1.057945,1.054975,1.059795,1.054275,81177,
6710,20211109,EURCHF,1.05615,1.057945,1.059795,1.055345,93833,
6711,20211110,EURCHF,1.05459,1.05615,1.05718,1.053795,125203,
6712,20211111,EURCHF,1.055095,1.05459,1.05749,1.053385,82971,
6713,20211112,EURCHF,1.05416,1.055095,1.057155,1.053585,75228,
6714,20211114,EURCHF,1.054635,1.05416,1.05478,1.05459,12,
6715,20211115,EURCHF,1.05171,1.054635,1.055115,1.051095,80926,
6716,20211116,EURCHF,1.053,1.05171,1.05508,1.05125,102260,
6717,20211117,EURCHF,1.05085,1.053,1.05447,1.05028,107384,
6718,20211118,EURCHF,1.05266,1.05085,1.052735,1.0498,97902,
6719,20211119,EURCHF,1.04785,1.05266,1.053315,1.044795,139968,
6720,20211121,EURCHF,1.047945,1.04785,1.048725,1.047515,66531,
6721,20211122,EURCHF,1.0478,1.047945,1.04909,1.044815,109788,
6722,20211123,EURCHF,1.050355,1.0478,1.05132,1.04678,109632,
6723,20211124,EURCHF,1.046225,1.050355,1.05112,1.04551,121279,
6724,20211125,EURCHF,1.04875,1.046225,1.049495,1.04551,109111,
6725,20211126,EURCHF,1.04478,1.04875,1.04934,1.04265,180316,
6726,20211129,EURCHF,1.0426,1.04478,1.04515,1.041505,116623,
6727,20211130,EURCHF,1.042195,1.0426,1.044365,1.039025,187684,
6728,20211201,EURCHF,1.041525,1.042195,1.04339,1.040445,124585,
6729,20211202,EURCHF,1.040825,1.041525,1.04366,1.039965,106750,
6730,20211203,EURCHF,1.03808,1.040825,1.040975,1.037595,117985,
6732,20211206,EURCHF,1.043865,1.037875,1.04496,1.037935,90395,
6733,20211207,EURCHF,1.04185,1.043865,1.044965,1.04021,93937,
6734,20211208,EURCHF,1.044425,1.04185,1.045555,1.041235,104459,
6735,20211209,EURCHF,1.043675,1.044425,1.0455,1.04206,94443,
6736,20211210,EURCHF,1.042,1.043675,1.04486,1.040975,90806,
